"YEAR","DISTCOUNTY","TOTEXP.COUNTY","TOTREV.COUNTY","TCHR.SAL.COUNTY","TCHR.NUM.COUNTY","PUPIL.NUM.COUNTY","EXP.PER.PUPIL.COUNTY","REV.PER.PUPIL.COUNTY","TCHR_SA.PER.PUPIL.COUNTY","TCHR_SAL.AVG.COUNTY","PUPIL.PER.TCHR.COUNTY","subregion"
2011,"CALHOUN",210852538.920194,212829359.377455,54663723.2633919,1090.39,22113.43,9535.04449197586,9624.43905705515,2471.96944406145,50132.26759544,20.28029420666,"CALHOUN"
2011,"CASS",59036100.3359092,60890045.2087034,16387179.8287431,309.48,7274.84,8115.10635779057,8369.94974579556,2252.58285113392,52950.690929117,23.5066563267416,"CASS"
2011,"CHARLEVOIX",41950505.6819055,41223318.1239186,11417108.9863695,206.66,4036.92,10391.7109286054,10211.5766782395,2828.1732078836,55245.8578649447,19.5341140036775,"CHARLEVOIX"
2011,"CHEBOYGAN",31598750.0902688,32286961.9719691,8571993.4133784,151.3,3421.86,9234.37840539028,9435.50056751857,2505.06841699497,56655.6074909345,22.6163912756114,"CHEBOYGAN"
2011,"CHIPPEWA",57952086.7753708,59242988.2778157,13796333.959763,273.04,5283.08,10969.3752082821,11213.7215938081,2611.41871025291,50528.6183700665,19.3491063580428,"CHIPPEWA"
2011,"CLARE",41155131.7428518,40900659.0806495,11682385.1322317,201.85,4603.98,8939.03356288512,8883.76124150181,2537.45349289783,57876.5674125922,22.8089175130047,"CLARE"
2011,"CLINTON",84255802.7064231,87430324.9600228,26740643.2345916,449.09,10233.56,8233.28369662397,8543.49072659199,2613.03429447735,59544.0629597444,22.787325480416,"CLINTON"
2011,"CRAWFORD",15755022.2946199,15987853.5627293,4386111.16703355,80,1773.08,8885.68045131631,9016.99503842426,2473.72434804608,54826.3895879194,22.1635,"CRAWFORD"
2011,"DELTA",48944178.4783081,49044923.7840819,13343559.0142882,244.94,5737.85,8530.05541767528,8547.61344128582,2325.53291115804,54476.8474495311,23.4255327835388,"DELTA"
2011,"DICKINSON",32773665.3825339,33667194.7733762,10591602.574083,176.98,4079.23,8034.27739611001,8253.32103690553,2596.47104332998,59846.324862035,23.0491015934004,"DICKINSON"
2011,"EATON",135120829.529932,136913935.62922,38822761.3531558,698.8,15507.92,8713.02080033507,8828.64598406622,2503.41511647957,55556.3270651915,22.1922152261019,"EATON"
2011,"EMMET",49642605.8307214,49999174.2583239,14620658.382783,255.62,5142.91,9652.62970394609,9721.96174117841,2842.87657819852,57196.8483795593,20.1193568578359,"EMMET"
2011,"GENESEE",746357929.433992,744179177.289326,178544359.594689,3034.98,74483.14,10020.4949661627,9991.24335103657,2397.11107231367,58828.8422311478,24.5415587582126,"GENESEE"
2011,"GLADWIN",28660206.615499,29014438.0015085,7599887.07555777,140.86,3372.78,8497.50253959613,8602.52907142136,2253.30056379538,53953.4791676684,23.944199914809,"GLADWIN"
2011,"GOGEBIC",19146764.0939557,18851661.7235475,5256432.57769892,98.04,1797.81,10650.0487225879,10485.9032509261,2923.79760803362,53615.183371062,18.3375152998776,"GOGEBIC"
2011,"GRAND TRAVERSE",114899918.763626,114730846.968062,31389087.4908896,603.5,13432.36,8553.96361947012,8541.37671772211,2336.82595544563,52011.7439782761,22.2574316487158,"GRAND TRAVERSE"
2011,"GRATIOT",60944794.3002384,61674179.7680296,17436273.5796682,317.04,7012.39,8691.01608727386,8795.02990678351,2486.49512928805,54997.0779071038,22.1183131466061,"GRATIOT"
2011,"HILLSDALE",56319301.8942176,58001719.496871,15958169.4516583,321.11,6788.23,8296.61073567301,8544.45407666961,2350.85868505608,49696.8934373214,21.139889757404,"HILLSDALE"
2011,"HOUGHTON",44310164.514819,45623452.5886795,13669436.4163989,268.48,5292.79,8371.79720238645,8619.92495237474,2582.65232824256,50914.170204108,19.7139079261025,"HOUGHTON"
2011,"HURON",40880649.3812701,41764727.3864799,11544954.4210139,212.74,4582.46,8921.11428823604,9114.0407960964,2519.37920265838,54267.9064633539,21.5401899031682,"HURON"
2011,"INGHAM",462285429.563205,467057657.403749,117900782.289195,1959.94,44376.79,10417.2796086244,10524.818433324,2656.81186695106,60155.301840462,22.6419125075257,"INGHAM"
2011,"IONIA",94417759.3463171,94979312.9929581,26154613.8517785,460.58,10885.18,8673.97317695408,8725.56200200254,2402.77274714598,56786.2561374321,23.6336358504494,"IONIA"
2011,"IOSCO",39090544.7613124,38699041.6360183,9951565.46090619,187.05,4227.38,9246.99098763594,9154.37969522927,2354.07402715303,53202.7022769644,22.6002673082064,"IOSCO"
2011,"IRON",12160764.8044358,12791793.8669985,3268501.6553896,63.56,1383.31,8791.06259944319,9247.235881327,2362.81213566706,51423.8775234361,21.7638451856514,"IRON"
2011,"ISABELLA",58728936.7496033,60229922.0120625,13930703.3849271,299.84,6659.59,8818.70156415084,9044.08860186026,2091.82598101792,46460.4568600825,22.2104789220918,"ISABELLA"
2011,"JACKSON",227621149.616044,226912472.447556,65736434.4954526,1126.16,24602.01,9252.13629358107,9223.33063223519,2671.9944628692,58372.1979962462,21.8459277544931,"JACKSON"
2011,"KALAMAZOO",330922063.222811,336287367.687003,90080432.3922599,1670.74,34302.4,9647.19854070885,9803.61046711027,2626.06792505072,53916.4875398086,20.5312615966578,"KALAMAZOO"
2011,"KALKASKA",20474386.6090805,21245730.9760207,5367928.2157771,106.57,2319.17,8828.32505123838,9160.92006020288,2314.59022657981,50369.9748125843,21.7619405085859,"KALKASKA"
2011,"KENT",1022238155.10779,1033277753.25909,254330278.798335,4373.63,103557.52,9871.21123707667,9977.81477635901,2455.9324981743,58150.8446755521,23.6777047898428,"KENT"
